,locus_tag,deg_id
191,BSU_01910,DNEG10010124
192,BSU_01920,DNEG10010125
193,BSU_01935,DNEG10010126
194,BSU_01950,DNEG10010127
195,BSU_01960,DNEG10010128
196,BSU_01970,DNEG10010129
197,BSU_01980,DNEG10010130
198,BSU_01990,DNEG10010131
199,BSU_02000,DNEG10010132
200,BSU_02010,DNEG10010133
201,BSU_02019,DNEG10010134
202,BSU_02030,DNEG10010135
203,BSU_02040,DNEG10010136
204,BSU_02050,DNEG10010137
205,BSU_02060,DNEG10010138
206,BSU_02070,DNEG10010139
207,BSU_02080,DNEG10010140
208,BSU_02090,DNEG10010141
209,BSU_02100,DNEG10010142
210,BSU_02110,DNEG10010143
211,BSU_02120,DNEG10010144
212,BSU_02130,DNEG10010145
213,BSU_02140,DNEG10010146
214,BSU_02150,DNEG10010147
215,BSU_02160,DNEG10010148
216,BSU_02170,DNEG10010149
217,BSU_02190,DNEG10010151
218,BSU_02200,DNEG10010152
219,BSU_02210,DNEG10010153
220,BSU_02220,DNEG10010154
221,BSU_02230,DNEG10010155
222,BSU_02240,DNEG10010156
223,BSU_02250,DNEG10010157
224,BSU_02260,DNEG10010158
225,BSU_02270,DNEG10010159
226,BSU_02280,DNEG10010160
227,BSU_02290,DNEG10010161
228,BSU_02300,DNEG10010162
229,BSU_02310,DNEG10010163
230,BSU_02320,DNEG10010164
231,BSU_02330,DNEG10010165
232,BSU_02340,DNEG10010166
233,BSU_02350,DNEG10010167
234,BSU_02360,DNEG10010168
235,BSU_02370,DNEG10010169
236,BSU_02380,DNEG10010170
237,BSU_02390,DNEG10010171
238,BSU_02400,DNEG10010172
239,BSU_02410,DNEG10010173
240,BSU_02420,DNEG10010174
241,BSU_02430,DNEG10010175
242,BSU_02440,DNEG10010176
243,BSU_02450,DNEG10010177
244,BSU_02460,DNEG10010178
245,BSU_02470,DNEG10010179
246,BSU_02480,DNEG10010180
247,BSU_02490,DNEG10010181
248,BSU_02500,DNEG10010182
249,BSU_02510,DNEG10010183
250,BSU_02520,DNEG10010184
251,BSU_02530,DNEG10010185
252,BSU_02540,DNEG10010186
253,BSU_02550,DNEG10010187
254,BSU_02560,DNEG10010188
255,BSU_02570,DNEG10010189
256,BSU_02580,DNEG10010190
257,BSU_02585,-
258,BSU_02590,DNEG10010191
259,BSU_02600,DNEG10010192
260,BSU_02610,DNEG10010193
261,BSU_02619,DNEG10010194
262,BSU_02620,DNEG10010195
263,BSU_02630,DNEG10010196
264,BSU_02640,DNEG10010197
265,BSU_02650,DNEG10010198
266,BSU_02660,DNEG10010199
267,BSU_02670,DNEG10010200
268,BSU_02680,DNEG10010201
269,BSU_02690,DNEG10010202
270,BSU_02700,DNEG10010203
271,BSU_02710,DNEG10010204
272,BSU_02720,DNEG10010205
273,BSU_02730,DNEG10010206
274,BSU_02740,DNEG10010207
275,BSU_02750,DNEG10010208
276,BSU_02760,DNEG10010209
277,BSU_02770,DNEG10010210
278,BSU_02780,DNEG10010211
279,BSU_02785,-
280,BSU_02790,DNEG10010212
281,BSU_02800,DNEG10010213
282,BSU_02810,DNEG10010214
283,BSU_02820,DNEG10010215
284,BSU_02830,DNEG10010216
285,BSU_02840,DNEG10010217
286,BSU_02850,DNEG10010218
287,BSU_02860,DNEG10010219
288,BSU_02870,DNEG10010220
289,BSU_02880,DNEG10010221
290,BSU_02890,DNEG10010222
291,BSU_02900,DNEG10010223
292,BSU_02910,DNEG10010224
293,BSU_02920,DNEG10010225
294,BSU_02930,DNEG10010226
295,BSU_02940,DNEG10010227
296,BSU_02950,DNEG10010228
297,BSU_02960,DNEG10010229
298,BSU_02970,DNEG10010230
299,BSU_02980,DNEG10010231
300,BSU_02990,DNEG10010232
301,BSU_03000,DNEG10010233
302,BSU_03010,DNEG10010234
303,BSU_03020,DNEG10010235
304,BSU_03030,DNEG10010236
305,BSU_03040,DNEG10010237
306,BSU_03050,DNEG10010238
307,BSU_03060,DNEG10010239
308,BSU_03070,DNEG10010240
309,BSU_03080,DNEG10010241
310,BSU_03090,DNEG10010242
311,BSU_03100,DNEG10010243
312,BSU_03110,DNEG10010244
313,BSU_03120,DNEG10010245
314,BSU_03130,DEG10010068
315,BSU_03140,DNEG10010246
316,BSU_03150,DNEG10010247
317,BSU_03160,DNEG10010248
318,BSU_03170,DNEG10010249
319,BSU_03180,DNEG10010250
320,BSU_03190,DNEG10010251
321,BSU_03200,DNEG10010252
322,BSU_03210,DNEG10010253
